hostname,username,createdat,lab,team,project,description,product_name,product_type,platform_name,platform_type,product_class,pch_ult,pch_vid,die,pch_stepping,ifwi_version,interface_name,subtestid,is_valid_mask,meas_id,Valid_Meas,mode,port,topology,data_rate,end_point,frequency,vt_corner,discipline,buffer_type,Signal,Measurement,# of meas,DataValid_by_TestId,PCD_Dts0,PCD_Dts1,PCD_Dts2,PCD_Dts3,PCD_Dts4,PCD_Dts5,PCD_Dts6,PCD_Dts7,PCH_Dts0,PCH_Dts1,PCH_Dts2,PCH_Dts3,Tc,V1P8A,comment,cpu_stepping,cpu_ult,cpu_vid,current,max,mean,min,parameter_name_from_spec,postcode,rebootTries,spec_id,spec_max,spec_min,spec_version,std dev,testid
GM03WVAW2676,gmsvuser,2026-01-14T21:24:26.889Z,GM,wbio,nvlhx,Typ:[THC_SPI]|Low:[THC_SPI]|Fast:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/5/4/1/1/,0x1ffffffffffffff,27,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,High,SIV,c76pxecfio_io1p8_hsmv,Clock,tF,1786,None,84,83,83,83,82,83,85,84,,,,,84.80000305175781,1.8900773917838425,[Test],a0,G5258010_004_+7_+8,U548C31700538,3.86989e-09,4.50055e-09,3.9356302e-09,2.42026e-09,,0x10ad,1,,,,646055,1.704327e-10,a63bdf9b-204a-407b-8e6e-5ea4fae306e6
GM03WVAW2676,gmsvuser,2026-01-14T21:24:26.889Z,GM,wbio,nvlhx,Typ:[THC_SPI]|Low:[THC_SPI]|Fast:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/5/4/1/1/,0x1ffffffffffffff,28,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,High,SIV,c76pxecfio_io1p8_hsmv,Clock,tR,1786,None,84,83,83,83,82,83,85,84,,,,,84.80000305175781,1.8900773917838425,[Test],a0,G5258010_004_+7_+8,U548C31700538,2.44659e-09,3.58619e-09,2.3533086e-09,1.7177e-09,,0x10ad,1,,,,646055,2.042501e-10,a63bdf9b-204a-407b-8e6e-5ea4fae306e6
GM03WVAW2676,gmsvuser,2026-01-14T21:24:26.889Z,GM,wbio,nvlhx,Typ:[THC_SPI]|Low:[THC_SPI]|Fast:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/5/4/1/1/,0x1ffffffffffffff,36,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,High,SIV,c76pxecfio_io1p8_hsmv,Clock,Vmax,47,None,84,83,83,83,82,83,85,84,,,,,84.80000305175781,1.8900773917838425,[Test],a0,G5258010_004_+7_+8,U548C31700538,1.83526,1.85709,1.834668,1.82362,,0x10ad,1,,,,646055,0.00678,a63bdf9b-204a-407b-8e6e-5ea4fae306e6
GM03WVAW2676,gmsvuser,2026-01-14T21:24:26.889Z,GM,wbio,nvlhx,Typ:[THC_SPI]|Low:[THC_SPI]|Fast:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/5/4/1/1/,0x1ffffffffffffff,35,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,High,SIV,c76pxecfio_io1p8_hsmv,Clock,Vmin,47,None,84,83,83,83,82,83,85,84,,,,,84.80000305175781,1.8900773917838425,[Test],a0,G5258010_004_+7_+8,U548C31700538,-0.07832,-0.06939,-0.082593,-0.09923,,0x10ad,1,,,,646055,0.006625,a63bdf9b-204a-407b-8e6e-5ea4fae306e6
GM03WVAW2676,gmsvuser,2026-01-14T21:24:26.889Z,GM,wbio,nvlhx,Typ:[THC_SPI]|Low:[THC_SPI]|Fast:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/5/4/1/1/,0x1ffffffffffffff,31,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,High,SIV,c76pxecfio_io1p8_hsmv,Clock,t180a,1739,None,84,83,83,83,82,83,85,84,,,,,84.80000305175781,1.8900773917838425,[Test],a0,G5258010_004_+7_+8,U548C31700538,42462090,43203080,42577659.2,42231720,Frequency,0x10ad,1,661,43520000.45776367,41819999.69482422,646055,134166.0482,a63bdf9b-204a-407b-8e6e-5ea4fae306e6
GM03WVAW2676,gmsvuser,2026-01-14T21:24:26.889Z,GM,wbio,nvlhx,Typ:[THC_SPI]|Low:[THC_SPI]|Fast:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/5/4/1/1/,0x1ffffffffffffff,32,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,High,SIV,c76pxecfio_io1p8_hsmv,Clock,Period,1739,None,84,83,83,83,82,83,85,84,,,,,84.80000305175781,1.8900773917838425,[Test],a0,G5258010_004_+7_+8,U548C31700538,2.355042e-08,2.367888e-08,2.34867276e-08,2.31465e-08,,0x10ad,1,,,,646055,7.37233e-11,a63bdf9b-204a-407b-8e6e-5ea4fae306e6
GM03WVAW2676,gmsvuser,2026-01-14T21:24:26.889Z,GM,wbio,nvlhx,Typ:[THC_SPI]|Low:[THC_SPI]|Fast:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/5/4/1/1/,0x1ffffffffffffff,29,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,High,SIV,c76pxecfio_io1p8_hsmv,Clock,LowTime,1739,None,84,83,83,83,82,83,85,84,,,,,84.80000305175781,1.8900773917838425,[Test],a0,G5258010_004_+7_+8,U548C31700538,1.140255e-08,1.170079e-08,1.1444298e-08,1.120929e-08,,0x10ad,1,,1.41E-08,9.37E-09,646055,8.21205e-11,a63bdf9b-204a-407b-8e6e-5ea4fae306e6
GM03WVAW2676,gmsvuser,2026-01-14T21:24:26.889Z,GM,wbio,nvlhx,Typ:[THC_SPI]|Low:[THC_SPI]|Fast:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/5/4/1/1/,0x1ffffffffffffff,30,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,High,SIV,c76pxecfio_io1p8_hsmv,Clock,HighTime,1786,None,84,83,83,83,82,83,85,84,,,,,84.80000305175781,1.8900773917838425,[Test],a0,G5258010_004_+7_+8,U548C31700538,1.214787e-08,1.237158e-08,1.20403071e-08,1.161111e-08,,0x10ad,1,,1.41E-08,9.37E-09,646055,1.249125e-10,a63bdf9b-204a-407b-8e6e-5ea4fae306e6
GM03WVAW2676,gmsvuser,2026-01-14T21:24:26.889Z,GM,wbio,nvlhx,Typ:[THC_SPI]|Low:[THC_SPI]|Fast:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/5/4/1/1/,0x1ffffffffffffff,26,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,High,SIV,c76pxecfio_io1p8_hsmv,Clock,DutyCycle,1739,None,84,83,83,83,82,83,85,84,,,,,84.80000305175781,1.8900773917838425,[Test],a0,G5258010_004_+7_+8,U548C31700538,51.58,52.46,51.2725,50.07,,0x10ad,1,,,,646055,0.4221,a63bdf9b-204a-407b-8e6e-5ea4fae306e6
GM03WVAW2676,gmsvuser,2026-01-14T21:24:26.889Z,GM,wbio,nvlhx,Typ:[THC_SPI]|Low:[THC_SPI]|Fast:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/5/4/1/1/,0x1ffffffffffffff,34,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,High,SIV,c76pxecfio_io1p8_hsmv,Clock,Overshoot,1598,None,84,83,83,83,82,83,85,84,,,,,84.80000305175781,1.8900773917838425,[Test],a0,G5258010_004_+7_+8,U548C31700538,0,0,0,0,,0x10ad,1,,,,646055,0,a63bdf9b-204a-407b-8e6e-5ea4fae306e6
