hostname,username,createdat,lab,team,project,description,product_name,product_type,platform_name,platform_type,product_class,pch_ult,pch_vid,die,pch_stepping,ifwi_version,interface_name,subtestid,is_valid_mask,meas_id,Valid_Meas,mode,port,topology,data_rate,end_point,frequency,vt_corner,discipline,buffer_type,Signal,Measurement,# of meas,DataValid_by_TestId,PCD_Dts0,PCD_Dts1,PCD_Dts2,PCD_Dts3,PCD_Dts4,PCD_Dts5,PCD_Dts6,PCD_Dts7,Tc,V1P8A,comment,cpu_stepping,cpu_ult,cpu_vid,current,max,mean,min,parameter_name_from_spec,postcode,rebootTries,spec_id,spec_max,spec_min,spec_version,std dev,testid
GM03WVAW2676,gmsvuser,2026-01-09T19:53:38.221Z,GM,wbio,nvlhx,Fast:[THC_SPI]|Low:[THC_SPI]|Typ:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/4/2/1/1/,0x1ffffffff,15,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,Low,SIV,c76pxecfio_io1p8_hsmv,Clock,tF,1748,TRUE,,,,,,,,,25.09999847,1.712014475,[Test],a0,G5238080_079_-22_+7,U538G12400977,2.38E-09,3.55E-09,2.46E-09,1.67E-09,,,,,,,646055,3.42E-10,7e8fef8a-71be-453a-966f-a3e4d2437bd2
GM03WVAW2676,gmsvuser,2026-01-09T19:53:38.221Z,GM,wbio,nvlhx,Fast:[THC_SPI]|Low:[THC_SPI]|Typ:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/4/2/1/1/,0x1ffffffff,16,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,Low,SIV,c76pxecfio_io1p8_hsmv,Clock,tR,1748,TRUE,,,,,,,,,25.09999847,1.712014475,[Test],a0,G5238080_079_-22_+7,U538G12400977,1.70E-09,2.03E-09,1.77E-09,1.50E-09,,,,,,,646055,5.83E-11,7e8fef8a-71be-453a-966f-a3e4d2437bd2
GM03WVAW2676,gmsvuser,2026-01-09T19:53:38.221Z,GM,wbio,nvlhx,Fast:[THC_SPI]|Low:[THC_SPI]|Typ:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/4/2/1/1/,0x1ffffffff,19,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,Low,SIV,c76pxecfio_io1p8_hsmv,Clock,t180a,1702,TRUE,,,,,,,,,25.09999847,1.712014475,[Test],a0,G5238080_079_-22_+7,U538G12400977,42735070,43007750,42576347.8,42158910,Frequency,,,661,43520000.46,41819999.69,646055,102592.5282,7e8fef8a-71be-453a-966f-a3e4d2437bd2
GM03WVAW2676,gmsvuser,2026-01-09T19:53:38.221Z,GM,wbio,nvlhx,Fast:[THC_SPI]|Low:[THC_SPI]|Typ:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/4/2/1/1/,0x1ffffffff,20,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,Low,SIV,c76pxecfio_io1p8_hsmv,Clock,Period,1702,TRUE,,,,,,,,,25.09999847,1.712014475,[Test],a0,G5238080_079_-22_+7,U538G12400977,2.34E-08,2.37E-08,2.35E-08,2.33E-08,,,,,,,646055,5.66E-11,7e8fef8a-71be-453a-966f-a3e4d2437bd2
GM03WVAW2676,gmsvuser,2026-01-09T19:53:38.221Z,GM,wbio,nvlhx,Fast:[THC_SPI]|Low:[THC_SPI]|Typ:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/4/2/1/1/,0x1ffffffff,17,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,Low,SIV,c76pxecfio_io1p8_hsmv,Clock,LowTime,1702,TRUE,,,,,,,,,25.09999847,1.712014475,[Test],a0,G5238080_079_-22_+7,U538G12400977,1.13E-08,1.17E-08,1.15E-08,1.13E-08,,,,,1.41E-08,9.37E-09,646055,8.03E-11,7e8fef8a-71be-453a-966f-a3e4d2437bd2
GM03WVAW2676,gmsvuser,2026-01-09T19:53:38.221Z,GM,wbio,nvlhx,Fast:[THC_SPI]|Low:[THC_SPI]|Typ:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/4/2/1/1/,0x1ffffffff,18,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,Low,SIV,c76pxecfio_io1p8_hsmv,Clock,HighTime,1748,TRUE,,,,,,,,,25.09999847,1.712014475,[Test],a0,G5238080_079_-22_+7,U538G12400977,1.20E-08,1.23E-08,1.20E-08,1.17E-08,,,,,1.41E-08,9.37E-09,646055,1.09E-10,7e8fef8a-71be-453a-966f-a3e4d2437bd2
GM03WVAW2676,gmsvuser,2026-01-09T19:53:38.221Z,GM,wbio,nvlhx,Fast:[THC_SPI]|Low:[THC_SPI]|Typ:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/4/2/1/1/,0x1ffffffff,14,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,Low,SIV,c76pxecfio_io1p8_hsmv,Clock,DutyCycle,1702,TRUE,,,,,,,,,25.09999847,1.712014475,[Test],a0,G5238080_079_-22_+7,U538G12400977,51.87,52.14,51.1285,50.22,,,,,55,45,646055,0.3892,7e8fef8a-71be-453a-966f-a3e4d2437bd2
GM03WVAW2676,gmsvuser,2026-01-09T19:53:38.221Z,GM,wbio,nvlhx,Fast:[THC_SPI]|Low:[THC_SPI]|Typ:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/4/2/1/1/,0x1ffffffff,0,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,Low,SIV,c76pxecfio_io1p8_hsmv,TXIO0,tF,658,TRUE,,,,,,,,,25.09999847,1.712014475,[Test],a0,G5238080_079_-22_+7,U538G12400977,1.66E-09,2.44E-09,1.75E-09,1.36E-09,,,,,,,646055,2.27E-10,7e8fef8a-71be-453a-966f-a3e4d2437bd2
GM03WVAW2676,gmsvuser,2026-01-09T19:53:38.221Z,GM,wbio,nvlhx,Fast:[THC_SPI]|Low:[THC_SPI]|Typ:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/4/2/1/1/,0x1ffffffff,1,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,Low,SIV,c76pxecfio_io1p8_hsmv,TXIO0,tR,658,TRUE,,,,,,,,,25.09999847,1.712014475,[Test],a0,G5238080_079_-22_+7,U538G12400977,1.82E-09,2.12E-09,1.78E-09,1.46E-09,,,,,,,646055,1.50E-10,7e8fef8a-71be-453a-966f-a3e4d2437bd2
GM03WVAW2676,gmsvuser,2026-01-09T19:53:38.221Z,GM,wbio,nvlhx,Fast:[THC_SPI]|Low:[THC_SPI]|Typ:[THC_SPI]|High:[THC_SPI]|Slow:[THC_SPI],Nova Lake,Discrete PCH,RVP01-NVL Hx_UL DDR5 SODIMM 1DPC T3,RVP,Hx,Q515B301_080_+3_+0,U5KF411700907,PCD-H,a0,NVL_HR11_A1A0-ODCA_RPRF_SEP0_115F0418_2025WW48.3.01_SPI0100MHz_1coreEnabled,THC_SPI,/4/2/1/1/,0x1ffffffff,2,TRUE,Quad,THC0,Single Load,Single,Generic | Generic,42 MHz,Low,SIV,c76pxecfio_io1p8_hsmv,TXIO0,HoldF,658,TRUE,,,,,,,,,25.09999847,1.712014475,[Test],a0,G5238080_079_-22_+7,U538G12400977,1.25E-08,1.27E-08,1.25E-08,1.24E-08,,,,,n/a,2.50E-09,646055,6.43E-11,7e8fef8a-71be-453a-966f-a3e4d2437bd2
